dbus.Struct((dbus.String(u'/usr/lib/systemd/system/nfs-secure-server.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/udisks2.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/zvbid.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-binfmt.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/lvm2-monitor.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-modules-load.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-ask-password-plymouth.path'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-udev-settle.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/NetworkManager-wait-online.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/iscsi.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-udevd-kernel.socket'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/abrt-pstoreoops.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/rdisc.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-readahead-done.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/capi.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/dm-event.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-journald.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/plymouth-quit-wait.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/psacct.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/fancontrol.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/irqbalance.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/user.slice'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/ctrl-alt-del.target'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/rsyncd.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-remount-fs.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/dracut-cmdline.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/user@.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/suspend.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/console-shell.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/poweroff.target'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/avahi-daemon.socket'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/sshd@.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-readahead-done.timer'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/abrtd.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/timers.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/chronyd.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/stunnel.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/fcoe.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-fsck@.service'), dbus.String(u'static')), signature=None)
